Japanese	English
旅の靴	Traveling Boots
騎士の兜	Knight Helm
騎士の鎧	Knight Armor
騎士の手甲	Knight Gauntlets
騎士の足甲	Knight Leggings
うす汚れたフード	Dingy Hood
うす汚れた上衣	Dingy Robe
うす汚れた手袋	Dingy Gloves
血濡れたスカート	Blood-Stained Skirt
聖女のフード	Maiden Hood
聖女の上衣	Maiden Robe
聖女の手袋	Maiden Gloves
聖女のスカート	Maiden Skirt
王騎士の兜	Silver Knight Helm
王騎士の鎧	Silver Knight Armor
王騎士の手甲	Silver Knight Gauntlets
王騎士の足甲	Silver Knight Leggings
岩の兜	Havel's Helm
岩の鎧	Havel's Armor
岩の手甲	Havel's Gauntlets
岩の足甲	Havel's Leggings
真鍮の兜	Brass Helm
真鍮の鎧	Brass Armor
真鍮の手甲	Brass Gauntlets
真鍮の足甲	Brass Leggings
黒金糸のフード	Gold-Hemmed Black Hood
黒金糸のローブ	Gold-Hemmed Black Cloak
黒金糸のロンググローブ	Gold-Hemmed Black Gloves
黒金糸のスカート	Gold-Hemmed Black Skirt
ゴーレムヘルム	Golem Helm
ゴーレムアーマー	Golem Armor
ゴーレムガントレット	Golem Gauntlets
ゴーレムレギンス	Golem Leggings
兵士の兜	Hollow Soldier Helm
兵士の鎧	Hollow Soldier Armor
兵士の腰巻き	Hollow Soldier Waistcloth
鋳鉄の兜	Steel Helm
鋳鉄の鎧	Steel Armor
鋳鉄の手甲	Steel Gauntlets
鋳鉄の足甲	Steel Leggings
盗賊のフード	Hollow Thief's Hood
盗賊の革鎧	Hollow Thief's Leather Armor
盗賊のタイツ	Hollow Thief's Tights
下級騎士の兜	Balder Helm
下級騎士の鎧	Balder Armor
下級騎士の手甲	Balder Gauntlets
下級騎士の足甲	Balder Leggings
粗末な兜	Hollow Warrior Helm
粗末な鎧	Hollow Warrior Armor
粗末な腰巻き	Hollow Warrior Waistcloth
センチネルヘルム	Giant Helm
センチネルアーマー	Giant Armor
センチネルガントレット	Giant Gauntlets
センチネルレギンス	Giant Leggings
陰の太陽の王冠	Crown of the Dark Sun
月光の長衣	Moonlight Robe
月光の篭手	Moonlight Gloves
月光の腰巻き	Moonlight Waistcloth
太陽の光の王冠	Crown of the Great Lord
大王の長衣	Robe of the Great Lord
太陽の腕輪	Bracelet of the Great Lord
太陽の脚輪	Anklet of the Great Lord
ずた袋	Sack
貪欲者の烙印	Symbol of Avarice
鍛冶の兜	Royal Helm
父の仮面	Mask of the Father
母の仮面	Mask of the Mother
子の仮面	Mask of the Child
牙猪の兜	Fang Boar Helm
ガーゴイルの兜	Gargoyle Helm
黒魔術師の帽子	Black Sorcerer Hat
黒魔術師のコート	Black Sorcerer Cloak
黒魔術師のガントレット	Black Sorcerer Gauntlets
黒魔術師のブーツ	Black Sorcerer Boots
上位神職の兜	Elite Cleric Helm
上位神職の鎧	Elite Cleric Armor
上位神職の手甲	Elite Cleric Gauntlets
上位神職の足甲	Elite Cleric Leggings
【DLC】アルトリウスの兜	
【DLC】アルトリウスの鎧	
【DLC】アルトリウスの手甲	
【DLC】アルトリウスの足甲	
【DLC】キアランのフード	
【DLC】キアランのローブ	
【DLC】キアランのロンググローブ	
【DLC】キアランのスカート	
【DLC】ゴーの兜	
【DLC】ゴーの鎧	
【DLC】ゴーの手甲	
【DLC】ゴーの足甲	
【DLC】守護者の兜	
【DLC】守護者の鎧	
【DLC】守護者の手甲	
【DLC】守護者の足甲	
【DLC】スナイパーハット	
【DLC】スナイパーコート	
【DLC】スナイパーグローブ	
【DLC】スナイパーブーツ	
【DLC】深淵人の頭	
【DLC】深淵人（魔術師）の頭	
頭	Head
からだ	Body
腕	Arms
脚	Legs
徘徊装備なし/頭	No Travel Gear / Head
徘徊装備なし/胴	No Travel Gear / Body
徘徊装備なし/腕	No Travel Gear / Arms
徘徊装備なし/脚	No Travel Gear / Legs
竜の頭	Dragon Head
竜のからだ	Dragon Body
竜の腕	Dragon Arms
竜の脚	Dragon Legs
たまご	Egg
たまご_二段階目	
鉄の兜	
太陽印の鎧	
鉄の腕輪	
鉄の足甲	
チェインヘルム	
チェインアーマー	
レザーガントレット	
チェインレギンス	
神職の兜	
神職の鎧	
神職の手甲	
神職の足甲	
ボロ布のフード	
ボロ布のローブ	
ボロ布のマンシェット	
厚手のブーツ	
上級騎士の兜	
上級騎士の鎧	
上級騎士の手甲	
上級騎士の足甲	
聖女のフード	
聖女の上衣	
聖女の手袋	
聖女のスカート	
黒魔術師の帽子	
黒魔術師のコート	
黒魔術師のガントレット	
黒魔術師のブーツ	
通常	Normal
通常＋1	Normal +1
通常＋2	Normal +2
通常＋3	Normal +3
通常＋4	Normal +4
通常＋5	Normal +5
通常＋6	Normal +6
通常＋7	Normal +7
通常＋8	Normal +8
通常＋9	Normal +9
通常＋10	Normal +10
特殊	Unique
特殊＋1	Unique +1
特殊＋2	Unique +2
特殊＋3	Unique +3
特殊＋4	Unique +4
特殊＋5	Unique +5
テスト用	Test
test1	test1
test2	test2
ゴースト化する	The ghost
トゥルーデスする	True to Death
マルチでホワイトゴーストを復活させる	I revive the white ghost in a multi-
マルチでホストを倒す	I beat the host in a multi-
マルチでホワイトゴーストを倒す	I beat a white ghost in a multi-
マルチでブラックゴーストを倒す	I beat the black ghost in a multi-
賢者ロガーンにDSを渡す	I pass the DS to the wise man Rogan
魔女ユーリアにDSを渡す	I pass the DS to witch Yuria
聖者ウルベインにDSを渡す	I pass the DS saint Urubein
テスト用	Test
敵が強くなる（LV1）↑	Enemy is stronger (LV1) ↑
敵が強くなる（LV2）↑	Enemy is stronger (LV2) ↑
敵が強くなる（LV3）↑	Enemy is stronger (LV3) ↑
敵が弱くなる（LV1）↓	Enemy is weakened (LV1) ↓
敵が弱くなる（LV2）↓	Enemy is weakened (LV2) ↓
敵が弱くなる（LV3）↓	Enemy is weakened (LV3) ↓
敵のエリア変化を解除する	I will release the area change of the enemy
手に入るソウルも増える（LV1）↑	Seoul entering the hand also increases (LV1) ↑
手に入るソウルも増える（LV2）↑	Seoul entering the hand also increases (LV2) ↑
手に入るソウルも増える（LV3）↑	Seoul entering the hand also increases (LV3) ↑
手に入るソウルも減る（LV1）↓	Seoul entering the hand also reduced (LV1) ↓
手に入るソウルも減る（LV2）↓	Seoul entering the hand also reduced (LV2) ↓
手に入るソウルも減る（LV3）↓	Seoul entering the hand also reduced (LV3) ↓
敵の落とすアイテムが変化する	Items that drop enemy changes
グレイゴーストが強くなる（LV1）↑	Gray ghost is stronger (LV1) ↑
グレイゴーストが強くなる（LV2）↑	Gray ghost is stronger (LV2) ↑
グレイゴーストが弱くなる（LV1）↓	Gray ghost is weakened (LV1) ↓
グレイゴーストが弱くなる（LV2）↓	Gray ghost is weakened (LV2) ↓
グレイゴーストのエリア変化を解除する	I will release the area change of gray ghost
ブラックゴーストが強くなる（LV1）↑	Black ghost is stronger (LV1) ↑
ブラックゴーストが強くなる（LV2）↑	Black ghost is stronger (LV2) ↑
ブラックゴーストのエリア変化を解除する	I will release the area change of the black ghost
マルチのホワイトゴーストが強くなる（LV1）↑	White ghost of multi becomes stronger (LV1) ↑
マルチのホワイトゴーストが強くなる（LV2）↑	White ghost of multi becomes stronger (LV2) ↑
マルチのホワイトゴーストのエリア変化を解除する	I will release the area change of the white ghost of a multi-
追加宝死体が登場する（LV1）	Add treasure corpse appeared (LV1)
追加宝死体が登場する（LV2）	Add treasure corpse appeared (LV2)
グレイゴーストが強くなる（LV1）	Gray ghost is stronger (LV1)
グレイゴーストが強くなる（LV2）	Gray ghost is stronger (LV2)
グレイゴーストが弱くなる（LV1）	Gray ghost is weakened (LV1)
グレイゴーストが弱くなる（LV2）	Gray ghost is weakened (LV2)
グレイゴーストのプレイヤー変化を解除する	I will release the player changes in the gray ghost
ブラックゴーストが強くなる（LV1）	Black ghost is stronger (LV1)
ブラックゴーストが強くなる（LV2）	Black ghost is stronger (LV2)
ブラックゴーストのプレイヤー変化を解除する	I will release the player changes in the black ghost
マルチのホワイトゴーストが強くなる（LV1）	White ghost of multi becomes stronger (LV1)
マルチのホワイトゴーストが強くなる（LV2）	White ghost of multi becomes stronger (LV2)
マルチのホワイトゴーストのプレイヤー変化を解除する	I will release the player changes in the white ghost of a multi-
聖者ウルベインが冷たくなる	Saint Urubein is cold
神の信徒その2が冷たくなる	The two congregation of God is cold
賢者ロガーンが冷たくなる	Rogan wise man is cold
魔術の徒が冷たくなる	Doers of magic is cold
要人が指輪をあげたくなる	VIPs will want to raise the ring
メフィストフェレスが登場したくなる	Mephistopheles will want appeared
敵ブラックゴーストが登場する	Enemy black ghost appeared
鉱石の精霊が登場する	Spirit of ore appeared
断罪者ミラルダのブラックゴーストが登場する	Black ghost of convicts who appeared Miraruda
飛竜がいなくなっている	Is no longer have Wyvern
断罪者ミラルダが登場する	Convicts who appeared Miraruda
処刑場の扉が開いている	Door of the execution ground is open
敵ブラックゴーストが登場する	Enemy black ghost appeared
鉱石の精霊が登場する	Spirit of ore appeared
マスターサツキのブラックゴーストが登場する	Black ghost of master Satsuki appeared
マスターサツキが登場する	Master Satsuki appeared
「誠」の宝死体が取得可能になる	Treasure corpse of " truth " is ready for fetching
敵ブラックゴーストが登場する	Enemy black ghost appeared
鉱石の精霊が登場する	Spirit of ore appeared
ヴィライデルのブラックゴーストが登場する	Black ghost of Vu~iraideru appeared
ガレキが消える	Rubble disappears
牢城２階の鍵出現	Emergence of key second floor Ro-jo
鉄の板出現	Plate appearance of iron
敵ブラックゴーストが登場する	Enemy black ghost appeared
鉱石の精霊が登場する	Spirit of ore appeared
セレンのブラックゴーストが登場する	Black ghost of selenium appeared
セレンが登場する	Selenium appeared
ゴールドランのブラックゴースト登場	Black ghost appearance of the gold run
不浄梯子	Unclean ladder
敵ブラックゴーストが登場する	Enemy black ghost appeared
鉱石の精霊が登場する	Spirit of ore appeared
放浪者ハーフハンドのブラックゴーストが登場する	Black ghost of Wanderer half hand appeared
放浪者ハーフハンドが登場する	Wanderer half hand appeared
固定宝竜骨砕きの場所に行けるようになる	I will be able to go to the location of the treasure crushed fixed keel
消すべからず	Shalt not turn off
106橙の助言のろう石	Pyrophyllite advice of 106 orange
280修理の光粉	Light powder 280 repair
290投げナイフ	Throwing knives 290
292火炎壷	292 flame pot
296氷結塊	296 freezing mass
2021民家の鍵	Key to the 2021 house
2602修理箱	2602 repair box
100000ダガー	100000 Dagger
200000ショートソード	200000 Short Sword
400000シミター	400000 scimitar
601000レイピア	601 000 rapier
700000ハンドアクス	700000 Hand Axe
800000クラブ	800000 club
809000強化クラブ	809000 strengthening club
1000000スピア	1000000 Spear
1200000ショートボウ	1200000 Short Bow
1400000双鳥の木盾	1400000 Kitate of bi- bird
1403000スモールレザーシールド	1403000 Small Leather Shield
1405000バックラー	1405000 Buckler
1408000レザーシールド	1408000 leather shield
1450000ヒーターシールド	1450000 Heater Shield
1460000戦士の円盾	Circle shield warrior 1460000
2000000ノーマル矢	2000000 normal arrow
2001000大きな矢	Arrow big 2001000
2006000安い矢	Cheap arrow 2006000
2100000普通の太矢	Futoshiya of 2100000 ordinary
2101000ヘビーボルト	2101000 heavy bolt
2103000安い太矢	Cheap Futoshiya 2103000
チェイン装備	Chain equipment
チェイン装備	Chain equipment
チェイン装備	Chain equipment
チェイン装備	Chain equipment
2608底なしの木箱	Wooden box of 2608 bottomless
270血赤の苔玉	Moss ball 270 blood red
271毒紫の苔玉	Moss ball of purple poison 271
272毒紫の花苔玉	Flower moss ball of purple poison 272
291毒投げナイフ	Throwing knives poison 291
293糞団子	293 shit dumpling
294誘い頭蓋	294 invitation skull
310炭松脂	310 charcoal pine resin
312一時の呪い	Curse of 312 one o'clock
313腐れ松脂	313 rot pine resin
330帰還の骨片	Bone fragment of 330 feedback
370七色石	370 rainbow stone
500人間性	500 human nature
2003000火矢	2003000 flaming arrows
2004000毒矢	2004000 poison dart
274解呪石	274 solution curse stone
2000000ノーマル矢	2000000 normal arrow
2001000大きな矢	Arrow big 2001000
2006000安い矢	Cheap arrow 2006000
2100000普通の太矢	Futoshiya of 2100000 ordinary
2101000ヘビーボルト	2101000 heavy bolt
2103000安い太矢	Cheap Futoshiya 2103000
260緑花草	260 Midorihanakusa
297黒い火炎壷	Flame pot black 297
1000楔石の欠片	Fragments of stone wedge 1000
1010楔石の大欠片	Large pieces of stone wedge 1010
1020緑楔の大欠片	Large piece of green wedge 1020
106雷方石の指輪	106 ring of thunder how stone
107魔法方石の指輪	107 ring of magic how stone
351000グレートソード	351000 Great Sword
750000グレートアクス	750000 Great Axe
1455000バルデルの盾	Shield of 1455000 Baruderu
1501000タワーシールド	1501000 Tower Shield
2000000ノーマル矢	2000000 normal arrow
2001000大きな矢	Arrow big 2001000
2002000羽根矢	2002000 feather arrows
2100000普通の太矢	Futoshiya of 2100000 ordinary
2101000ヘビーボルト	2101000 heavy bolt
2102000スナイパーボルト	2102000 sniper bolt
カタリナ装備	Catalina equipment
カタリナ装備	Catalina equipment
カタリナ装備	Catalina equipment
カタリナ装備	Catalina equipment
鋼鉄装備	Steel equipment
鋼鉄装備	Steel equipment
鋼鉄装備	Steel equipment
鋼鉄装備	Steel equipment
バルデル装備	Baruderu equipment
バルデル装備	Baruderu equipment
バルデル装備	Baruderu equipment
バルデル装備	Baruderu equipment
1000楔石の欠片	Fragments of stone wedge 1000
2002アルトリウスの紋章	Coat of arms of 2002 Arutoriusu
2600武器の鍛治箱	Kaji box of 2600 weapons
2601防具の鍛治箱	Kaji box 2601 Armor
2602修理箱	2602 repair box
201000ロングソード	201000 Long Sword
202000ブロードソード	202000 Broadsword
300000バスタードソード	300000 Bastard Sword
701000バトルアクス	701 000 Battle Axe
803000ウォーピック	803,000 War Pick
901000セスタス	901 000 Cestus
1050000パイク	1050000 Pike
1402000ラージレザーシールド	1402000 Large Leather Shield
1452000塔のカイトシールド	Kite Shield of 1452000 tower
1477000双蛇のカイトシールド	Kite Shield of 1477000 twin snake
2000000ノーマル矢	2000000 normal arrow
2001000大きな矢	Arrow big 2001000
2006000安い矢	Cheap arrow 2006000
2100000普通の太矢	Futoshiya of 2100000 ordinary
2101000ヘビーボルト	2101000 heavy bolt
2103000安い太矢	Cheap Futoshiya 2103000
311黄金松脂	311 golden pine resin
2608底なしの木箱	Wooden box of 2608 bottomless
205000結晶直剣	205000 crystal straight sword
304000結晶大剣	304000 crystal sword
1471000結晶の盾	Shield of crystal 1471000
トリックスター装備	Trickster equipment
トリックスター装備	Trickster equipment
トリックスター装備	Trickster equipment
トリックスター装備	Trickster equipment
2000000ノーマル矢	2000000 normal arrow
2001000大きな矢	Arrow big 2001000
2006000安い矢	Cheap arrow 2006000
2100000普通の太矢	Futoshiya of 2100000 ordinary
2101000ヘビーボルト	2101000 heavy bolt
2103000安い太矢	Cheap Futoshiya 2103000
470000ゴーレムヘルム	470000 Golem Helm
471000ゴーレムアーマー	471000 Golem Armor
472000ゴーレムガントレット	472 000 Golem Gauntlet
473000ゴーレムレギンス	473000 Golem leggings
80000スモウの兜	Kabuto 80000 sumo
81000スモウの鎧	Armor 81000 sumo
82000スモウの手甲	Glove of 82000 sumo
83000スモウの足甲	Instep 83000 sumo
270000オーンスタインの兜	Kabuto 270000 Ornstein
271000オーンスタインの鎧	Armor of 271000 Ornstein
272000オーンスタインの手甲	Glove of 272000 Ornstein
273000オーンスタインの足甲	Instep of 273,000 Ornstein
540000陰の太陽の王冠	Crown of the sun shade of 540000
541000月光の長衣	Robe of 541000 moonlight
542000月光の長手袋	Gauntlets of 542,000 moonlight
543000月光の腰巻き	Loincloth of 543,000 moonlight
550000大王の王冠	Crown of the Great 550000
551000大王の長衣	Robe of the Great 551 000
552000大王の腕輪	Bracelet of the Great 552 000
553000大王の脚輪	Caster of the Great 553 000
2100万能鍵	2100 universal key
660000アルトリウスの兜	Helmet of 660000 Arutoriusu
661000アルトリウスの鎧	Armor of 661,000 Arutoriusu
662000アルトリウスの手甲	Glove of 662,000 Arutoriusu
663000アルトリウスの足甲	Instep of 663000 Arutoriusu
109死の瞳	Pupil of the 109 death
240女神の祝福	Blessing of the Goddess 240
370七色石	370 rainbow stone
500人間性	500 human nature
501人間性の双子	Twins of 501 human nature
奇跡：回復5000	Miracle : the recovery 5000
奇跡：限られた大回復5020	Large recovery 5020 : limited miracle
702000クレセントアクス	702000 Crescent Axe
801000メイス	801000 Mace
1361000粗布のタリスマン	Talisman of sackcloth 1361000
1362000ソルロンドのタリスマン	Talisman of 1362000 Sorurondo
590000父の仮面	Mask 590000 father
600000母の仮面	Mask 600000 mother
610000子の仮面	Mask 610000 child
神職装備	Priest equipment
神職装備	Priest equipment
神職装備	Priest equipment
神職装備	Priest equipment
145東の木目指輪	Grain ring of 145 East
303000フランベルジェ	303000 Fran Berger
306000石の大剣	Sword of stone 306 000
352000デーモンの大鉈	Panga of 352000 daemon
402000ショーテル	402000 Shoretel IP Phone Systems
500000打刀	500000 strokes sword
501000物干し竿	501000 clothespole
751000デーモンの大斧	Broad ax of 751,000 daemon
902000かぎ爪	902 000 talon
1003000デーモンの槍	Spear 1003000 daemon
3000魔術：ソウルの矢	Arrow of Seoul : 3000 magic
3010魔術：強いソウルの矢	Arrow of Seoul strong : 3010 magic
3020魔術：ソウルの太矢	Futoshiya of Seoul : 3020 magic
3030魔術：強いソウルの太矢	Futoshiya of Seoul strong : 3030 magic
3100魔術：魔法の武器	Magic weapon : 3100 magic
3300魔術：魔法の盾	Shield of magic : magic 3300
3520魔術：音送り	Sends sound : 3520 magic
3540魔術：落下制御	3540 magic : drop control
115吠える竜印の指輪	Ring of dragon mark Barking 115
141佇む竜印の指輪	Ring of dragon mark nestled 141
1300000魔術師の杖	1300000 wand magician
魔術：追尾するソウルの塊3040	3040 mass of Seoul to be tracked : magic
魔術：ソウルの槍3060	Spear 3060 Seoul : magic
3000魔術：ソウルの矢	Arrow of Seoul : 3000 magic
3020魔術：ソウルの太矢	Futoshiya of Seoul : 3020 magic
1300000魔術師の杖	1300000 wand magician
3400魔術：見えない武器	Weapons can not be seen : 3400 magic
3410魔術：見えない体	Body you can not see : 3410 magic
3500魔術：照らす光	Shining light : 3500 magic
3530魔術：修復	3530 magic : Repair
3550魔術：擬態	3550 magic : mimicry
1305000ウーラシールの白枝	Shiroeda of 1305000 Urashiru
3600魔術：解呪	3600 magic : dispel
312一時の呪い	Curse of 312 one o'clock
4000呪術：火球	4000 magic : fireball
4010呪術：火の玉	4010 magic : fireball
4100呪術：発火	4100 magic : fire
4300呪術：鉄の体	Body of iron : 4300 magic
4310呪術：激しい発汗	Intense sweating : 4310 magic
従者一覧112	Retinue list 112
275たまごくだし	The 275 beat the egg
4200呪術：毒の霧	Fog of poison : 4200 magic
4210呪術：猛毒の霧	Mist of deadly poison : 4210 magic
4000呪術：火球	4000 magic : fireball
4010呪術：火の玉	4010 magic : fireball
4020呪術：大火球	4020 magic : the great fire ball
4030呪術：炎の嵐	Storm of flame : 4030 magic
4060呪術：なぎ払う炎	Flame to Nagiharau : 4060 magic
4100呪術：発火	4100 magic : fire
4110呪術：大発火	4110 magic : Large fire
4360呪術：不死の魅了	Fascination of immortality : 4360 magic
5000奇跡：回復	5000 miracle : the recovery
5020奇跡：限られた大回復	Large recovery was limited : 5020 miracle
5210奇跡：帰還	5210 miracle : Feedback
5300奇跡：フォース	5300 Miracle : Force
5400奇跡：助言求め	Seeking advice : 5400 miracle
1360000タリスマン	1360000 Talisman
1362000ソルロンドのタリスマン	Talisman of 1362000 Sorurondo
240女神の祝福	Blessing of the Goddess 240
5000奇跡：回復	5000 miracle : the recovery
5010奇跡：大回復	5010 miracle : large recovery
5020奇跡：限られた大回復	Large recovery was limited : 5020 miracle
5210奇跡：帰還	5210 miracle : Feedback
5300奇跡：フォース	5300 Miracle : Force
5310奇跡：神の怒り	5310 miracle : God's wrath
5400奇跡：助言求め	Seeking advice : 5400 miracle
5600奇跡：魔法防護	5600 miracle : magic protection
1360000タリスマン	1360000 Talisman
108罪人一覧	108 sinner list
274解呪石	274 solution curse stone
373告罪符	373 Tsuge-zaifu
5700奇跡：因果応報	5700 miracle : chickens come home to roost
1367000ベルカのタリスマン	Talisman of Belka 1367000
109血咬みの指輪	Ring of God 109 blood
110毒咬みの指輪	Ring of God 110 poison
126犠牲の指輪	126 ring of sacrifice
330帰還の骨片	Bone fragment of 330 feedback
3000魔術：ソウルの矢	Arrow of Seoul : 3000 magic
3010魔術：強いソウルの矢	Arrow of Seoul strong : 3010 magic
3020魔術：ソウルの太矢	Futoshiya of Seoul : 3020 magic
3030魔術：強いソウルの太矢	Futoshiya of Seoul strong : 3030 magic
3040魔術：追尾するソウルの塊	Mass of Seoul to be tracked : 3040 magic
3060魔術：ソウルの槍	Spear of Seoul : 3060 magic
3100魔術：魔法の武器	Magic weapon : 3100 magic
3300魔術：魔法の盾	Shield of magic : magic 3300
3050魔術：追尾するソウルの結晶塊	Crystalline mass of Seoul to be tracked : 3050 magic
3070魔術：ソウルの結晶槍	Crystal spear of Seoul : 3070 magic
3120魔術：結晶魔法の武器	Crystal magic weapon : 3120 magic
111ひび割れた赤い瞳のオーブ	Orb of red eyes cracked 111
1101000巨人のハルバード	Halberd of giant 1101000
1502000センチネルシールド	1502000 Sentinel Shield
2005000月光矢	2005000 Gekkoya
2007000竜狩りの大矢	Oya of 2007000 dragon hunting
2000000ノーマル矢	2000000 normal arrow
2001000大きな矢	Arrow big 2001000
2002000羽根矢	2002000 feather arrows
2104000雷のボルト	Bolt of lightning 2104000
2100000普通の太矢	Futoshiya of 2100000 ordinary
2101000ヘビーボルト	2101000 heavy bolt
2102000スナイパーボルト	2102000 sniper bolt
センチネル装備	Sentinel equipment
センチネル装備	Sentinel equipment
センチネル装備	Sentinel equipment
センチネル装備	Sentinel equipment
2600武器の鍛治箱	Kaji box of 2600 weapons
2601防具の鍛治箱	Kaji box 2601 Armor
2602修理箱	2602 repair box
1000楔石の欠片	Fragments of stone wedge 1000
1010楔石の大欠片	Large pieces of stone wedge 1010
1020緑楔の大欠片	Large piece of green wedge 1020
1130光る楔石	Wedge stone shining 1130
330帰還の骨片	Bone fragment of 330 feedback
1000楔石の欠片	Fragments of stone wedge 1000
2600武器の鍛治箱	Kaji box of 2600 weapons
2601防具の鍛治箱	Kaji box 2601 Armor
2602修理箱	2602 repair box
2000000ノーマル矢	2000000 normal arrow
2001000大きな矢	Arrow big 2001000
2006000安い矢	Cheap arrow 2006000
2100000普通の太矢	Futoshiya of 2100000 ordinary
2101000ヘビーボルト	2101000 heavy bolt
2103000安い太矢	Cheap Futoshiya 2103000
260緑花草	260 Midorihanakusa
270血赤の苔玉	Moss ball 270 blood red
271毒紫の苔玉	Moss ball of purple poison 271
272毒紫の花苔玉	Flower moss ball of purple poison 272
290投げナイフ	Throwing knives 290
292火炎壷	292 flame pot
294誘い頭蓋	294 invitation skull
296氷結塊	296 freezing mass
297黒い火炎壷	Flame pot black 297
330帰還の骨片	Bone fragment of 330 feedback
500人間性	500 human nature
2000000ノーマル矢	2000000 normal arrow
2001000大きな矢	Arrow big 2001000
2002000羽根矢	2002000 feather arrows
2100000普通の太矢	Futoshiya of 2100000 ordinary
2101000ヘビーボルト	2101000 heavy bolt
2102000スナイパーボルト	2102000 sniper bolt
280修理の光粉	Light powder 280 repair
311黄金松脂	311 golden pine resin
3400魔術：見えない武器	Weapons can not be seen : 3400 magic
3410魔術：見えない体	Body you can not see : 3410 magic
3500魔術：照らす光	Shining light : 3500 magic
3530魔術：修復	3530 magic : Repair
3550魔術：擬態	3550 magic : mimicry
1305000ウーラシールの白枝	Shiroeda of 1305000 Urashiru
293糞団子	293 shit dumpling
330帰還の骨片	Bone fragment of 330 feedback
370七色石	370 rainbow stone
510人面「こんにちは」	510 human face "Hello"
511人面「ありがとう」	511 human face "Thank you"
1000楔石の欠片	Fragments of stone wedge 1000
1010楔石の大欠片	Large pieces of stone wedge 1010
1020緑楔の大欠片	Large piece of green wedge 1020
2008000ゴーの大矢	Oya go of 2008000
魔術：ソウルの矢3000	Arrow 3000 Seoul : magic
魔術：強いソウルの矢3010	Arrow 3010 Seoul strong : magic
魔術：ソウルの太矢3020	Futoshiya 3020 Seoul : magic
魔術：強いソウルの太矢3030	Futoshiya 3030 Seoul strong : magic
魔術：追尾するソウルの塊3040	3040 mass of Seoul to be tracked : magic
魔術：追尾するソウルの結晶塊3050	Crystalline mass 3050 in Seoul to be tracked : magic
魔術：ソウルの槍3060	Spear 3060 Seoul : magic
魔術：ソウルの結晶槍3070	Crystal spear 3070 Seoul : magic
魔術：魔法の武器3100	3100 weapon of magic : magic
魔術：強い魔法の武器3110	3110 magic weapon strong : magic
魔術：結晶魔法の武器3120	3120 crystal weapon of magic : magic
魔術：魔法の盾3300	3300 shield of magic : magic
魔術：強い魔法の盾3310	3310 shield of strong magic : magic
魔術：見えない武器3400	3400 weapon you can not see : magic
魔術：見えない体3410	3410 body you can not see : magic
魔術：照らす光3500	3500 light that shines : magic
魔術：音無し3510	Magic : no sound 3510
魔術：音送り3520	Magic : sound Feed 3520
魔術：修復3530	Magic : Repair 3530
魔術：落下制御3540	Magic : fall 3540 control
魔術：擬態3550	Magic : mimicry 3550
魔術：解呪3600	Magic : 3600 Disenchant
魔術：治癒3610	Magic : healing 3610
魔術：白竜の息3700	3700 White Dragon breath : magic
呪術：火球4000	Magic : fireball 4000
呪術：火の玉4010	Magic : fireball 4010
呪術：大火球4020	Magic : the great fire ball 4020
呪術：炎の嵐4030	4030 storm of fire : magic
呪術：炎の大嵐4040	Large storm of the 4040 fire : magic
呪術：火炎噴流4050	Magic : flame jet 4050
呪術：なぎ払う炎4060	Flame 4060 to Nagiharau : magic
呪術：発火4100	Magic : fire 4100
呪術：大発火4110	Magic : Large fire 4110
呪術：毒の霧4200	Fog 4200 : Poison magic
呪術：猛毒の霧4210	4210 fog of deadly poison : magic
呪術：酸の噴射4220	4220 injection of acid : magic
呪術：鉄の体4300	4300 body of iron : magic
呪術：激しい発汗4310	Intense sweating 4310 : magic
呪術：不死の魅了4360	Attracted 4360 of immortality : magic
呪術：内なる大力4400	Large force 4400 to be within : magic
呪術：混沌の大火球4500	Great Fire of 4500 ball chaos : magic
呪術：混沌の嵐4510	4510 storm of chaos : magic
呪術：なぎ払う混沌の炎4520	4520 flame of chaos Nagiharau : magic
奇跡：回復5000	Miracle : the recovery 5000
奇跡：大回復5010	Miracle : Large recovery 5010
奇跡：限られた大回復5020	Large recovery 5020 : limited miracle
奇跡：太陽の光の癒し5030	The 5030 healing light of the sun : miracle
奇跡：生命湧き5040	5040 springing life : miracle
奇跡：太陽の光の恵み5050	5050 blessing of sunshine : miracle
奇跡：墓王の剣舞5100	Sword dance 5100 Haka-o : miracle
奇跡：墓王の大剣舞5110	Large sword dance 5110 Haka-o : miracle
奇跡：死の回避5200	5200 avoidance of death : miracle
奇跡：帰還5210	Miracle : Feedback 5210
奇跡：フォース5300	Miracle : Force 5300
奇跡：神の怒り5310	Miracles : Wrath of God 5310
奇跡：放つフォース5320	Force 5320 shoot : miracle
奇跡：助言求め5400	Miracle : advice sought 5400
奇跡：雷の槍5500	Spear of thunder 5500 : miracle
奇跡：雷の大槍5510	Large spear of thunder 5510 : miracle
奇跡：太陽の光の槍5520	5520 spear of sunlight : miracle
奇跡：魔法防護5600	Miracle : magic protection 5600
奇跡：強化魔法防護5610	Miracle : strengthening protection magic 5610
奇跡：因果応報5700	Miracle : retributive justice 5700
奇跡：緩やかな平和の歩み5800	5800 History of gentle peace : miracle
奇跡：沈黙の禁則5810	5810 prohibition of silence : miracle
奇跡：太陽の光の剣5900	5900 Sword of sunlight : miracle
奇跡：暗月の光の剣5910	5910 sword of light Kuratsuki : miracle
魔術：闇の玉3710	3710 Balls of darkness : witchcraft
